,text,created_at,author_id,id
0,Que maravilla @Banesco con su verificación biométrica.,2021-04-28T22:00:42.000Z,107166989,1387527218939695107
1,Ya pasó el pago!!! @salaprensaCantv @Banesco,2021-04-28T21:41:37.000Z,1105692242025635840,1387522414301663237
2,"@Banesco Buenas tardes soy de San Carlos Cojedes preaperture una cuenta corriente en el año 2018 y no he podido formalizarla y la plataforma del banco dice que soy cliente, pero en la agencia no me dan respuesta. Que debo hacer.",2021-04-28T21:34:33.000Z,400459973,1387520637225390080
3,Pésimo servicio presta la entidad Bancaria @Banesco en Puerto Ayacucho. Los usuarios en su mayoría adultos mayores pasan ente 1 y 2 horas y media en una cola para realizar cualquier operación en los cajeros automáticos que por cierto son sólo 2 para todo el estado #Amazonas. https://t.co/XA1gT1CTXP,2021-04-28T19:55:42.000Z,558941854,1387495762104397829
4,@Banesco @Johnnelog Nada que extrañarse. A mí hace más de un mes me tienen de burla. Me mandaron al banco en medio de la pandemia y lo peor sigo sin tener mi dinero.,2021-04-28T19:45:25.000Z,1374752742787407874,1387493171106549766
5,@Banesco hace más de 1 mes recibí una transferencia. Banesco me a pedido documentos e ir al banco. Lo e echo todo y aún no transferencia no se acredita. Me parece un abuso. Y los correos los respondes cuando quieren.,2021-04-28T19:43:28.000Z,1374752742787407874,1387492682512150528
6,"@Banesco de lo peor...me bloquean la clave, la cuenta, me dicen que llame a mil teléfonos, llamo y me bloquean la clave telefónica y me mandan a una agencia en pandemia... a que juegan?",2021-04-28T18:24:36.000Z,52961100,1387472835745046531
7,"@Banesco siendo @Banesco.

Me eliminan el usuario por sospecha de fraude (me querían hackear la cuenta) y ahora tengo que esperar que me dejen crear otro cuando les dé la gana.",2021-04-28T18:12:14.000Z,1348682318005882886,1387469722661408771
8,"@Banesco Estoy a la espera de que reciban mi PDV, salieron almorzar a las 11am son las 2pm y aun no regresan, aparte q lo he traído 2 veces y aun continua con las fallas, esos PDV Inalámbrico son una porquería. #ciudadbanesco",2021-04-28T18:11:30.000Z,99362761,1387469538711769094
9,@LaLibertadCo @Banesco,2021-04-28T18:11:02.000Z,2245845157,1387469420767891459
10,@Banesco señores bloquearon mi cuenta mi clave no me dejan cambiar no me contestan el teléfono.. necesito pagar mis servicios que hsgo?...,2021-04-28T17:58:27.000Z,52961100,1387466255259611144
