,Unnamed: 0,created_at,author_id,id,text,neg,neu,pos,score
0,0,2021-04-28T23:14:05.000Z,3312459507,1387545684165988356,@fatimacpb @BCV_ORG_VE #AFECTADOSDICOM El banco Venezuela no me permite movilizar las divisas compradas en dicom 2018 necesito mi dinero @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.995441198348999,0.003067605895921588,0.0014911701437085867,neg
1,1,2021-04-28T23:11:47.000Z,3312459507,1387545105754738690,@BcodeVenezuela Buenas noches el banco no me permite movilizar las divisas comprada en el dicom 2018 necesito mi dinero #AFECTADOSDICOM @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.9954156875610352,0.003265677485615015,0.001318527851253748,neg
2,2,2021-04-28T23:08:44.000Z,3312459507,1387544340029923336,@descifradocom Buenas noches cuando van a liberar las divisas compradas en el dicom en el 2018 #AFECTADOSDICOM @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.09524384140968323,0.8887649774551392,0.015991171821951866,neu
3,3,2021-04-28T23:07:55.000Z,625806696,1387544133150158849,@SudebanInforma Buenas tardes Sres de Sudeban! Denuncia!. Hago de su conocimiento qué en reiteradas visitas a las oficinas del Banco Provincial (Ofc Ppal y Altamira) no están permitiendo el Cambio dé Divisas (€) con la excusa de sólo cambiar a BsS la cantidad de 100€ al Mes.,0.9925814867019653,0.00551555585116148,0.0019028650131076574,neg
4,4,2021-04-28T22:33:27.000Z,1387211500146864130,1387535460269006849,"@BcodeVenezuela Sres. BDV desde 2018 tengo bloqueados mis dólares comprados con DICOM, den respuesta a ésto, hay demasiada necesidad con ésta pandemia, sean humanos con el pueblo! @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @josejmoralesu78 @simonzerpad",0.9901540875434875,0.007231269031763077,0.002614728407934308,neg
5,5,2021-04-28T22:31:22.000Z,111057665,1387534934651416579,@SudebanInforma El BANCO DE VENEZUELA NO QUIERE ENTREGAR LAS DIVISAS COMPRADAS A TRAVES DEL DICOM EN 2018 3 AÑOS ESPERANDO SOLUCION. NO MAS BURLAS,0.9720144271850586,0.023243866860866547,0.004741624463349581,neg
6,6,2021-04-28T22:22:24.000Z,1387211500146864130,1387532679483174916,"@BcoBicentenario La página caída todo el día, será que nuestro dinero se va perder igual que han hecho con nuestros dólares comprados legalmente con DICOM 2018? @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @BcodeVenezuela  @simonzerpad",0.9961801767349243,0.002648396883159876,0.0011714436113834381,neg
7,7,2021-04-28T22:09:11.000Z,1387511108882272259,1387529353911799811,"@SudebanInforma VAMOS TWITTEROS DEL MUNDO 🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪

DALE RT Y COMPARTE

#SiguemeYTeSigo
#AristobuloPorSiempre 
#TodosCiudadanos
#SiguemeYTeSigoTambien 
@Patriot64099720 
@HijasRangel 
@PatriotaRoja18 
@Casemiro 
@vinijr 
@RosaMar1408",0.22655260562896729,0.6115328669548035,0.16191457211971283,neu
8,8,2021-04-28T21:43:44.000Z,111057665,1387522947347271684,"@SudebanInforma @BCV_ORG_VE El Banco de Venezuela, Bicentenario y Tesoro NO NOS PERMITEN PAGAR CON NUESTRAS DIVISAS COMPRADAS LEGALMENTE... LIBEREN NUESTRO DINERO ....",0.985639214515686,0.01189473643898964,0.002466051373630762,neg
9,9,2021-04-28T21:06:32.000Z,166385684,1387513586919124997,"@BcoBicentenario No sirve la página de banca en linea, no sirve el pago móvil, atención al cliente tampoco, a que esta jugando la administración de @SimonZerpaD  a destuir el banco? Señores de @SudebanInforma tomen carteras en el asunto con esta institución bancaria.",0.9964759945869446,0.0021111436653882265,0.001412861282005906,neg
10,10,2021-04-28T21:04:52.000Z,1303814505865109504,1387513167450882053,@BcodeVenezuela Buenas tardes porque el banco no me permite movilizar mis divisas compradas en el dicom en el 2018 necesito mi dinero #AFECTADOSDICOM @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.9956529140472412,0.003045089542865753,0.0013018762692809105,neg
11,11,2021-04-28T21:03:59.000Z,175283792,1387512944242593793,"@BcodeVenezuela Tenemos años con divisas retenidas del sistema DICOM en esta entidad bancaria. EXIGIMOS que activen las mesas de cambio, necesitamos una solución pronta.@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @SimonZerpaD",0.37431952357292175,0.615401566028595,0.010278934612870216,neu
12,12,2021-04-28T20:58:46.000Z,1118191796,1387511631660392451,"@BcoBicentenario Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. 
@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
 #AFECTADOSDICOM",0.4794211685657501,0.5081382393836975,0.012440587393939495,neu
13,13,2021-04-28T20:56:02.000Z,111057665,1387510945505742857,@BcoBicentenario El BANCO BICENTENARIO NO QUIERE DAR RESPUESTA SOBRE LAS DIVISAS COMPRADAS LEGALMENTE  A TRAVES DEL DICOM SOLUCION YAAAA @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.9904914498329163,0.0075697326101362705,0.001938748057000339,neg
14,14,2021-04-28T20:47:48.000Z,604576526,1387508870831124483,@bancamiga @SudebanInforma @BCV_ORG_VE https://t.co/4uu53L29ej,0.010142377577722073,0.9444040060043335,0.04545366019010544,neu
15,15,2021-04-28T20:46:04.000Z,604576526,1387508434929655810,"@bancamiga @SudebanInforma @BCV_ORG_VE Exacto pero mi pregunta sigue siendo la misma. EL BANCO COMPRA EUROS Y DÓLARES AL MISMO PRECIO? 
Hoy 4:45 pm tasa de compra 2.615728 bs? El peor negocio ha sido dejarle a ustedes mis euros entonces. Información muy distinta a la que dan en la agencia que según es a tasa BCV",0.9892170429229736,0.009575068019330502,0.0012078996514901519,neg
16,16,2021-04-28T20:45:40.000Z,1303814505865109504,1387508334912315392,@BcoBicentenario Buenas tardes permitan movilizar las divisas retenidas compradas en el dicom necesito el dinero @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad #AFECTADOSDICOM,0.02091457135975361,0.9722836017608643,0.006801859941333532,neu
17,17,2021-04-28T20:43:34.000Z,1303814505865109504,1387507806627115008,@BcodeVenezuela Buenas tardes mis divisas compradas en el dicom me la tienen retenidas y no me la permiten movilizar por ningun medio necesito ese dinero @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad #AFECTADOSDICOM,0.9960891008377075,0.0027467512991279364,0.001164110261015594,neg
18,18,2021-04-28T20:34:45.000Z,1387406542400626691,1387505588565856258,"@BcoBicentenario Los usuarios que compramos divisas en Dicom, pedimos nos la entreguen

@BCV_ORG_VE
 @sudebaninforma
 @minecofinanzas
 @tsj_venezuela
 @tarekwiliamsaab
 @josejmoralesu78
 @SimonZerpaD

 #afectadosdicom",0.05821274220943451,0.9307051301002502,0.011082101613283157,neu
19,19,2021-04-28T20:28:41.000Z,962574158,1387504061403082754,@BcoBicentenario Ojalá alguien me fuese advertido de nos víctima de ustedes. Paguen las divisas dicom del 2018. Necesito mi dinero para cubrir gastos médicos es lo único q tengo y no me lo dan. Pero si dan crédito y tarjetas @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela,0.9642807245254517,0.03359831124544144,0.002120986580848694,neg
20,20,2021-04-28T20:28:16.000Z,1387406542400626691,1387503955064803330,"@SudebanInforma Los usuarios que compramos divisas en Dicom, pedimos sean liberadas, es nuestro derecho

@BCV_ORG_VE
 @sudebaninforma
 @minecofinanzas
 @tsj_venezuela
 @tarekwiliamsaab
 @josejmoralesu78
 @SimonZerpaD
 
 #afectadosdicom",0.2589128911495209,0.721258819103241,0.01982829160988331,neu
21,21,2021-04-28T20:26:36.000Z,1387406542400626691,1387503536469123072,"@SudebanInforma Los usuarios que compramos divisas en Dicom, pedimos sean liberadas, es nuestro derecho

@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @SimonZerpaD 

 #afectadosdicom",0.2589128911495209,0.721258819103241,0.01982829160988331,neu
22,22,2021-04-28T20:26:29.000Z,962574158,1387503507163553803,@MinEcoFinanzas @BCV_ORG_VE @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad invitamos a banco bicentenario a pagar nuestra divisas a estás tasas. Mi familiaa se ha enfermado y no he podido cubrir con los gastos. Hasta cuándo necesito mi dinero dicom,0.8407881259918213,0.15384122729301453,0.005370641127228737,neg
23,23,2021-04-28T20:11:23.000Z,140653553,1387499707799375877,"@BcoBicentenario Exigimos nuestras divisas retenidas injustamente del DICOM desde el año 2018. No más burlas al pueblo. Son nuestros únicos ahorros y los necesitamos urgente 
@sudebaninforma
 
@BCV_ORG_VE
 
@BcodeVenezuela
 
@TarekWiliamSaab
 
@TSJ_Venezuela",0.8221473097801208,0.16571317613124847,0.012139551341533661,neg
24,24,2021-04-28T20:10:40.000Z,178420785,1387499527981121536,"@BcodeVenezuela Todos los bancos han dado soluciones sobre las Divisas obtenidas por medio de Dicom menos los bancos nacionales @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad SE ESTAN HACIENDO LOS LOCOS, QUEREMOS NUESTRAS DIVISAS",0.14250968396663666,0.4992406666278839,0.358249694108963,neu
25,25,2021-04-28T20:07:50.000Z,224208567,1387498813489917953,"@BcoBicentenario #AFECTADOSDICOM Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. @sudebaninforma @BCV_ORG_VE @BcodeVenezuela @TarekWiliamSaab @TSJ_Venezuela",0.11059699952602386,0.871107816696167,0.01829511858522892,neu
26,26,2021-04-28T20:07:10.000Z,186164677,1387498647395438592,"@BcoBicentenario Entreguen nuestras divisas retenidas del DICOM desde el año 2018, hasta cuando debemos esperar, queremos una solución ya. 
@BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad
 #AFECTADOSDICOM",0.4794211685657501,0.5081382393836975,0.012440587393939495,neu
27,27,2021-04-28T20:06:47.000Z,178420785,1387498549756243969,"@descifradocom Esa puede ser una solución... Solo queremos soluciones para recuperar nuestro dinero, permitan que las divisas obtenidas en Dicom también se puedan vender @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad",0.017019307240843773,0.9467921853065491,0.03618849813938141,neu
28,28,2021-04-28T20:06:29.000Z,140653553,1387498474665566208,"@BcodeVenezuela Exigimos nuestras divisas retenidas injustamente del DICOM desde el año 2018. No más burlas al pueblo. Son nuestros únicos ahorros y los necesitamos urgente 
@sudebaninforma
 
@BCV_ORG_VE
 
@BcodeVenezuela
 
@TarekWiliamSaab
 
@TSJ_Venezuela",0.8221473097801208,0.16571317613124847,0.012139551341533661,neg
29,29,2021-04-28T20:05:41.000Z,178420785,1387498273552936961,@EneidaLayaPsuv @ViceVenezuela @PartidoPSUV @Mippcivzla @VTVcanal8 @MinComNacional @sundde_ve @almacaracas @CalidadEsVida @CassVzla @Conatel Necesito respuestas sobre nuetsras divisas adjudicadas en Dicom... También hicimos muchos reclamos por redes y nadie nos presta atención @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad #AFECTADOSDICOM  @BcodeVenezuela,0.9929255247116089,0.005857679061591625,0.0012167642125859857,neg
30,30,2021-04-28T20:03:16.000Z,178420785,1387497664980336642,"@bcodeltesoro Necesitamos repsuestas para nuestras Divisas ... Desde el 2018 estan retenidas, es mi dinero y lo necesito @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad",0.9774093627929688,0.02044515497982502,0.002145554404705763,neg
31,31,2021-04-28T20:01:41.000Z,178420785,1387497268366950401,@bcodeltesoro Asi de de rápido y sencillo deberian liberarnos nuestras divisaas adjudicadas por Dicom... @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.007092807907611132,0.946008563041687,0.046898551285266876,neu
32,32,2021-04-28T20:01:03.000Z,4115194707,1387497108685611019,@BcodeVenezuela Cuando darán respuesta a los usuarios que tienen divisas de Dicom desde el 2018??????? @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,0.5384484529495239,0.4560041129589081,0.005547377746552229,neg
